super_opeid,name,type,tier,iclevel,state,count,access,success,mobility
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,675.33331,9.23034,19.21438,1.7735527
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,1471.6666,16.241901,12.019882,1.9522574
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,489.5,41.461433,4.7621169,1.9744419
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,257,8.1016321,17.707079,1.4345623
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,1596.1666,26.033289,10.127345,2.636481
2114,American International College,Private Non-profit,Selective private,Four-year,MA,172.33333,14.55442,18.479864,2.6896369
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,270.5,6.8494349,10.258131,.70262402
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,377.66666,29.305914,3.3071225,.96918243
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,1103,3.5309114,36.376553,1.2844238
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,389.66666,4.2215958,46.467812,1.9616832
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,127,10.462378,6.1690397,.64542824
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,448.66666,5.271863,13.535394,.71356744
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,216,8.5361471,14.020874,1.1968424
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,262.66666,9.3424969,25.738012,2.404573
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,871.66669,26.211666,8.7828455,2.3021302
3541,Angelo State University,Public,Selective public,Four-year,TX,1090,11.666122,18.082207,2.1094923
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,122,5.0080614,33.853336,1.6953959
2058,Anne Arundel Community College,Public,Two-year (public and private not-for-profit),Two-year,MD,2218.6667,6.2969222,19.617638,1.2353073
1113,Antelope Valley College,Public,Two-year (public and private not-for-profit),Two-year,CA,1904.6666,16.401859,11.75501,1.9280404
24,Anthem College And The Bryman School Of Arizona,Private For-profit,Four-year for-profit,Four-year,AZ,2343.5,26.990732,4.8730936,1.3152837
111,Anthem Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,NJ,701.66669,18.898329,16.600492,3.1372156
12891,Antonelli College,Private For-profit,Two-year for-profit,Two-year,MS,169.66667,32.667789,3.6114161,1.1797698
2906,Appalachian State University,Public,Selective public,Four-year,NC,2427.3333,3.5452352,15.233072,.54004824
2239,Aquinas College,Private Non-profit,Selective private,Four-year,MI,291.33334,3.4027312,17.16297,.58400971
1346,Arapahoe Community College,Public,Two-year (public and private not-for-profit),Two-year,CO,1073,5.7288365,16.512363,.94596642
3235,Arcadia University,Private Non-profit,Selective private,Four-year,PA,309,5.7861662,33.356514,1.9300634
21799,Argosy University,Private For-profit,Four-year for-profit,Four-year,CA,119,6.6442595,1.2867546,.085495315
35,Arizona State And Northern Arizona University And University Of Arizona,Public,Selective public,Four-year,AZ,12056,4.9298477,32.00898,1.5779939
1071,Arizona Western College,Public,Two-year (public and private not-for-profit),Two-year,AZ,765.66669,27.479176,8.9150238,2.449775
12860,Arkansas Northeastern College,Public,Two-year (public and private not-for-profit),Two-year,AR,304.66666,30.77692,5.8292861,1.7940749
1090,Arkansas State University,Public,Selective public,Four-year,AR,1956.6666,15.929386,14.797317,2.3571217
1091,Arkansas State University - Beebe,Public,Two-year (public and private not-for-profit),Two-year,AR,644.66669,13.748596,11.365198,1.5625553
1089,Arkansas Tech University,Public,Selective public,Four-year,AR,951,13.475392,15.711419,2.1171753
1546,Armstrong Atlantic State University,Public,Selective public,Four-year,GA,652.66669,9.7965746,18.609446,1.8230883
1116,Art Center College Of Design,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,109.5,14.908856,30.677685,4.5736918
20789,Art Institute Of Colorado ,Private For-profit,Four-year for-profit,Four-year,CO,523.66669,12.620264,13.524294,1.7068015
10195,Art Institute Of Fort Lauderdale ,Private For-profit,Four-year for-profit,Four-year,FL,527,19.660526,12.475055,2.4526618
21171,Art Institute Of Houston ,Private For-profit,Four-year for-profit,Four-year,TX,401,17.10009,15.835603,2.7079024
25256,Art Institute Of New York City ,Private For-profit,Two-year for-profit,Two-year,NY,245,24.446348,10.662801,2.6066656
8350,Art Institute Of Philadelphia ,Private For-profit,Four-year for-profit,Four-year,PA,672,12.081274,12.433701,1.5021493
40513,Art Institute Of Phoenix ,Private For-profit,Four-year for-profit,Four-year,KY,214,10.486932,7.6432595,.80154335
7470,Art Institute Of Pittsburgh ,Private For-profit,Four-year for-profit,Four-year,PA,790.66669,14.400798,11.945039,1.7201809
7819,Art Institute Of Portland ,Private For-profit,Four-year for-profit,Four-year,OR,135.33333,8.9580698,18.936598,1.6963538
22913,Art Institute Of Seattle ,Private For-profit,Four-year for-profit,Four-year,WA,562.33331,10.60483,18.848959,1.9988999
25578,Art Institute Of York  - Pennsylvania,Private For-profit,Four-year for-profit,Four-year,PA,194,5.216516,13.12511,.68467343
10248,Art Institutes International Minnesota ,Private For-profit,Four-year for-profit,Four-year,MN,238,8.2090712,7.770896,.63791841
1952,Asbury College,Private Non-profit,Selective private,Four-year,KY,265,3.4568813,22.743698,.78622264
4033,Asheville Buncombe Technical Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,744,13.436407,5.638268,.75758064
3012,Ashland University,Private Non-profit,Selective private,Four-year,OH,461.33334,4.884933,11.541358,.56378758
11150,Asnuntuck Community College,Public,Two-year (public and private not-for-profit),Two-year,CT,214.66667,6.2092414,10.028872,.62271684
2118,Assumption College,Private Non-profit,Selective private,Four-year,MA,476.66666,2.0878508,42.539482,.88816088
5600,Athens Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,600,18.232771,5.5077486,1.0042151
12165,Atlanta Metropolitan  State College,Public,Nonselective four-year public,Four-year,GA,331.33334,25.633018,5.3459821,1.3703365
8543,Atlanta Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,311,35.970024,4.0012307,1.4392436
2596,Atlantic Cape Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,937,14.717254,9.5143614,1.4002528
1009,Auburn University,Public,Selective public,Four-year,AL,3839,3.3321195,31.986362,1.0658238
8310,Auburn University Montgomery,Public,Selective public,Four-year,AL,668.33331,13.526307,18.042749,2.4405177
2334,Augsburg College,Private Non-profit,Selective private,Four-year,MN,321,4.0241985,32.132877,1.2930907
5599,Augusta Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,614,26.411942,2.9946449,.79094386
1633,"Augustana College of Rock Island, IL",Private Non-profit,Highly selective private,Four-year,IL,541.33331,2.1307478,46.92524,.9998585
3458,"Augustana College of Sioux Falls, SD",Private Non-profit,Selective private,Four-year,SD,392,2.7987962,15.88113,.44448045
1634,Aurora University,Private Non-profit,Selective private,Four-year,IL,185.66667,7.3590221,15.014251,1.104902
3543,Austin College,Private Non-profit,Highly selective private,Four-year,TX,299.33334,5.7600904,39.560169,2.2787015
12015,Austin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,4347.3335,10.691411,14.101166,1.5076135
3478,Austin Peay State University,Public,Selective public,Four-year,TN,1065.6666,11.998721,11.463448,1.3754672
11621,Automotive Training Center,Private For-profit,Two-year for-profit,Two-year,PA,144.33333,8.7445765,15.68712,1.3717722
121,Aveda Institute,Private For-profit,Less than two-year schools of any type,Less than Two-year,MN,162.66667,8.5245447,7.4025655,.63103497
26009,Aveda Institute Covington,Private For-profit,Less than two-year schools of any type,Less than Two-year,LA,61,14.94955,.43150583,.064508177
3702,Averett University,Private Non-profit,Selective private,Four-year,VA,126.33334,8.1789627,7.1058407,.58118409
2449,Avila University,Private Non-profit,Selective private,Four-year,MO,109.5,6.5208554,8.0605049,.52561384
1117,Azusa Pacific University,Private Non-profit,Selective private,Four-year,CA,647,4.9204984,30.893568,1.5201175
2121,Babson College,Private Non-profit,Highly selective private,Four-year,MA,314.33334,4.1080918,68.151627,2.7997315
11074,Bainbridge State College,Public,Two-year (public and private not-for-profit),Two-year,GA,277.66666,32.756332,4.8934994,1.6029309
4673,Baker College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MI,2788,16.952463,5.3038092,.89912629
1903,Baker University,Private Non-profit,Selective private,Four-year,KS,190.33333,3.4607053,36.957123,1.278977
3014,Baldwin Wallace University,Private Non-profit,Selective private,Four-year,OH,686.66669,3.7171357,30.834982,1.1461781
1786,Ball State University,Public,Selective public,Four-year,IN,3317.6667,4.5373359,17.064112,.77425611
32963,Baltimore School Of Massage,Private For-profit,Less than two-year schools of any type,Less than Two-year,MD,73,8.5807438,.61762047,.052996427
13208,Baptist Bible College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MO,124.5,11.958838,20.3393,2.4323437
2670,Baptist Bible College Of Pennsylvania,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,PA,188.33333,6.1544499,8.2950258,.51051325
2671,Bard College,Private Non-profit,Highly selective private,Four-year,NY,280,6.4892879,23.605846,1.5318513
2708,Barnard College,Private Non-profit,Other elite schools (public and private),Four-year,NY,535.33331,6.5402598,52.820206,3.4545786
1466,Barry University,Private Non-profit,Selective private,Four-year,FL,272.66666,15.535042,22.995251,3.5723217
1119,Barstow Community College,Public,Two-year (public and private not-for-profit),Two-year,CA,478,18.924633,18.435741,3.4888964
2908,Barton College,Private Non-profit,Selective private,Four-year,NC,185,7.4892855,7.2260857,.54118216
4608,Barton County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,806.33331,18.634378,14.374884,2.6786702
2036,Bates College,Private Non-profit,Other elite schools (public and private),Four-year,ME,427,1.8359207,41.292965,.75810605
5306,Bates Technical College,Public,Two-year (public and private not-for-profit),Two-year,WA,378.33334,11.937841,14.712717,1.7563809
2240,Bay De Noc Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,368.5,14.342722,4.7549224,.68198538
2122,Bay Path College,Private Non-profit,Selective private,Four-year,MA,76,5.9767346,28.516678,1.7043661
